Type,ICAO Code,IATA Code,Name,Latitude [Deg],longitude [Deg],Country Code
medium_airport,LFBE,EGC,Bergerac-Roumanière Airport,44.83,0.52,FR
medium_airport,LFBH,LRH,La Rochelle-Île de Ré Airport,46.18,-1.2,FR
medium_airport,LFBI,PIS,Poitiers-Biard Airport,46.59,0.31,FR
medium_airport,LFBL,LIG,Limoges Airport,45.86,1.18,FR
large_airport,LFBO,TLS,Toulouse-Blagnac Airport,43.63,1.36,FR
medium_airport,LFBP,PUF,Pau Pyrénées Airport,43.38,-0.42,FR
medium_airport,LFBT,LDE,Tarbes-Lourdes-Pyrénées Airport,43.18,-0.01,FR
medium_airport,LFBU,ANG,Angoulême-Brie-Champniers Airport,45.73,0.22,FR
medium_airport,LFBZ,BIQ,Biarritz-Anglet-Bayonne Airport,43.47,-1.53,FR
medium_airport,LFCK,DCM,Castres-Mazamet Airport,43.56,2.29,FR
medium_airport,LFCR,RDZ,Rodez-Marcillac Airport,44.41,2.48,FR
medium_airport,LFEY,IDY,Île d'Yeu Airport,46.72,-2.39,FR
medium_airport,LFGJ,DLE,Dole-Tavaux Airport,47.04,5.44,FR
medium_airport,LFHP,LPY,Le Puy-Loudes Airport,45.08,3.76,FR
medium_airport,LFJL,ETZ,Metz-Nancy-Lorraine Airport,48.98,6.25,FR
medium_airport,LFJR,ANE,Angers-Loire Airport,47.56,-0.31,FR
medium_airport,LFKB,BIA,Bastia-Poretta Airport,42.55,9.48,FR
medium_airport,LFKC,CLY,Calvi-Sainte-Catherine Airport,42.52,8.79,FR
medium_airport,LFKF,FSC,Figari Sud-Corse Airport,41.5,9.1,FR
medium_airport,LFKJ,AJA,Ajaccio-Napoléon Bonaparte Airport,41.92,8.8,FR
medium_airport,LFLB,CMF,Chambéry-Savoie Airport,45.64,5.88,FR
medium_airport,LFLC,CFE,Clermont-Ferrand Auvergne Airport,45.79,3.17,FR
large_airport,LFLL,LYS,Lyon Saint-Exupéry Airport,45.73,5.08,FR
medium_airport,LFLP,NCY,Annecy-Haute-Savoie-Mont Blanc Airport,45.93,6.11,FR
medium_airport,LFLS,GNB,Grenoble-Isère Airport,45.36,5.33,FR
medium_airport,LFLW,AUR,Aurillac Airport,44.89,2.42,FR
medium_airport,LFMD,CEQ,Cannes-Mandelieu Airport,43.54,6.95,FR
medium_airport,LFMH,EBU,Saint-Étienne-Bouthéon Airport,45.54,4.3,FR
medium_airport,LFMK,CCF,Carcassonne Airport,43.22,2.31,FR
large_airport,LFML,MRS,Marseille Provence Airport,43.44,5.22,FR
large_airport,LFMN,NCE,Nice-Côte d'Azur Airport,43.66,7.22,FR
medium_airport,LFMP,PGF,Perpignan-Rivesaltes (Llabanère) Airport,42.74,2.87,FR
medium_airport,LFMT,MPL,Montpellier-Méditerranée Airport,43.58,3.96,FR
medium_airport,LFMU,BZR,Béziers-Vias Airport,43.32,3.35,FR
medium_airport,LFMV,AVN,Avignon-Caumont Airport,43.91,4.9,FR
medium_airport,LFOB,BVA,Paris Beauvais Tillé Airport,49.45,2.11,FR
medium_airport,LFOH,LEH,Le Havre Octeville Airport,49.53,0.09,FR
medium_airport,LFOP,URO,Rouen Airport,49.38,1.17,FR
medium_airport,LFOT,TUF,Tours-Val-de-Loire Airport,47.43,0.73,FR
large_airport,LFPG,CDG,Charles de Gaulle International Airport,49.01,2.55,FR
large_airport,LFPO,ORY,Paris-Orly Airport,48.72,2.38,FR
medium_airport,LFQQ,LIL,Lille-Lesquin Airport,50.56,3.09,FR
medium_airport,LFRB,BES,Brest Bretagne Airport,48.45,-4.42,FR
medium_airport,LFRC,CER,Cherbourg-Maupertus Airport,49.65,-1.47,FR
medium_airport,LFRD,DNR,Dinard-Pleurtuit-Saint-Malo Airport,48.59,-2.08,FR
medium_airport,LFRH,LRT,Lorient South Brittany (Bretagne Sud) Airport,47.76,-3.44,FR
medium_airport,LFRK,CFR,Caen-Carpiquet Airport,49.17,-0.45,FR
medium_airport,LFRN,RNS,Rennes-Saint-Jacques Airport,48.07,-1.73,FR
medium_airport,LFRO,LAI,Lannion-Côte de Granit Airport,48.75,-3.47,FR
medium_airport,LFRQ,UIP,Quimper-Cornouaille Airport,47.97,-4.17,FR
medium_airport,LFRS,NTE,Nantes Atlantique Airport,47.15,-1.61,FR
large_airport,LFSB,BSL,EuroAirport Basel-Mulhouse-Freiburg Airport,47.59,7.53,FR
medium_airport,LFSD,DIJ,Dijon-Bourgogne Airport,47.27,5.09,FR
medium_airport,LFSG,EPL,Épinal-Mirecourt Airport,48.33,6.07,FR
medium_airport,LFSL,BVE,Brive-Souillac,45.04,1.49,FR
medium_airport,LFST,SXB,Strasbourg Airport,48.54,7.63,FR
medium_airport,LFTH,TLN,Toulon-Hyères Airport,43.1,6.15,FR
medium_airport,LFTW,FNI,Nîmes-Arles-Camargue Airport,43.76,4.42,FR
medium_airport,LGAL,AXD,Alexandroupoli Democritus Airport,40.86,25.96,GR
large_airport,LGAV,ATH,Eleftherios Venizelos International Airport,37.94,23.94,GR
medium_airport,LGHI,JKH,Chios Island National Airport,38.34,26.14,GR
medium_airport,LGIO,IOA,Ioannina Airport,39.7,20.82,GR
large_airport,LGIR,HER,Heraklion International Nikos Kazantzakis Airport,35.34,25.18,GR
medium_airport,LGKF,EFL,Kefallinia Airport,38.12,20.5,GR
medium_airport,LGKL,KLX,Kalamata Airport,37.07,22.03,GR
medium_airport,LGKO,KGS,Kos Airport,36.79,27.09,GR
medium_airport,LGKP,AOK,Karpathos Airport,35.42,27.15,GR
medium_airport,LGKR,CFU,Ioannis Kapodistrias International Airport,39.6,19.91,GR
medium_airport,LGKV,KVA,Kavala Alexander the Great International Airport,40.91,24.62,GR
medium_airport,LGKZ,KZI,Filippos Airport,40.29,21.84,GR
medium_airport,LGMK,JMK,Mikonos Airport,37.44,25.35,GR
medium_airport,LGMT,MJT,Mytilene International Airport,39.06,26.6,GR
medium_airport,LGPZ,PVK,Aktion National Airport,38.93,20.77,GR
medium_airport,LGRP,RHO,Diagoras Airport,36.41,28.09,GR
medium_airport,LGRX,GPA,Araxos Airport,38.15,21.43,GR
medium_airport,LGSA,CHQ,Chania International Airport,35.53,24.15,GR
medium_airport,LGSK,JSI,Skiathos Island National Airport,39.18,23.5,GR
medium_airport,LGSM,SMI,Samos Airport,37.69,26.91,GR
medium_airport,LGSR,JTR,Santorini Airport,36.4,25.48,GR
medium_airport,LGST,JSH,Sitia Airport,35.22,26.1,GR
large_airport,LGTS,SKG,Thessaloniki Macedonia International Airport,40.52,22.97,GR
medium_airport,LGZA,ZTH,Zakynthos International Airport Dionysios Solomos,37.75,20.88,GR
large_airport,LHBP,BUD,Budapest Liszt Ferenc International Airport,47.43,19.26,HU
medium_airport,LHDC,DEB,Debrecen International Airport,47.49,21.62,HU
medium_airport,LHPP,PEV,Pécs-Pogány Airport,45.99,18.24,HU
medium_airport,LHPR,,Győr-Pér International Airport,47.62,17.81,HU
medium_airport,LHSM,SOB,Hévíz–Balaton Airport,46.69,17.16,HU
medium_airport,LIBC,CRV,Crotone Airport,39,17.08,IT
large_airport,LIBD,BRI,Bari Karol Wojtyła Airport,41.14,16.76,IT
medium_airport,LIBF,FOG,Foggia Gino Lisa Airport,41.43,15.54,IT
medium_airport,LIBP,PSR,Abruzzo Airport,42.43,14.18,IT
medium_airport,LIBR,BDS,Brindisi Airport,40.66,17.95,IT
medium_airport,LICA,SUF,Lamezia Terme Airport,38.91,16.24,IT
large_airport,LICC,CTA,Catania-Fontanarossa Airport,37.47,15.07,IT
medium_airport,LICD,LMP,Lampedusa Airport,35.5,12.62,IT
medium_airport,LICG,PNL,Pantelleria Airport,36.82,11.97,IT
large_airport,LICJ,PMO,Falcone–Borsellino Airport,38.18,13.09,IT
medium_airport,LICR,REG,Reggio Calabria Airport,38.07,15.65,IT
medium_airport,LICT,TPS,Vincenzo Florio Airport Trapani-Birgi,37.91,12.49,IT
medium_airport,LIEA,AHO,Alghero-Fertilia Airport,40.63,8.29,IT
large_airport,LIEE,CAG,Cagliari Elmas Airport,39.25,9.05,IT
medium_airport,LIEO,OLB,Olbia Costa Smeralda Airport,40.9,9.52,IT
medium_airport,LIET,TTB,Tortolì Airport,39.92,9.68,IT
large_airport,LIMC,MXP,Malpensa International Airport,45.63,8.73,IT
large_airport,LIME,BGY,Milan Bergamo Airport,45.67,9.7,IT
large_airport,LIMF,TRN,Turin Airport,45.2,7.65,IT
medium_airport,LIMG,ALL,Villanova D'Albenga International Airport,44.05,8.13,IT
large_airport,LIMJ,GOA,Genoa Cristoforo Colombo Airport,44.41,8.84,IT
large_airport,LIML,LIN,Milano Linate Airport,45.45,9.28,IT
medium_airport,LIMP,PMF,Parma Airport,44.82,10.3,IT
medium_airport,LIMW,AOT,Aosta Airport,45.74,7.37,IT
medium_airport,LIMZ,CUF,Cuneo International Airport,44.55,7.62,IT
medium_airport,LIPB,BZO,Bolzano Airport,46.46,11.33,IT
large_airport,LIPE,BLQ,Bologna Guglielmo Marconi Airport,44.54,11.29,IT
large_airport,LIPH,TSF,Treviso-Sant'Angelo Airport,45.65,12.19,IT
medium_airport,LIPK,FRL,Forlì Airport,44.19,12.07,IT
medium_airport,LIPO,VBS,Brescia Airport,45.43,10.33,IT
medium_airport,LIPQ,TRS,Trieste–Friuli Venezia Giulia Airport,45.83,13.47,IT
medium_airport,LIPR,RMI,Federico Fellini International Airport,44.02,12.61,IT
large_airport,LIPX,VRN,Verona Villafranca Airport,45.4,10.89,IT
medium_airport,LIPY,AOI,Marche Airport,43.62,13.36,IT
large_airport,LIPZ,VCE,Venice Marco Polo Airport,45.51,12.35,IT
large_airport,LIRA,CIA,Ciampino–G. B. Pastine International Airport,41.8,12.59,IT
large_airport,LIRF,FCO,Leonardo da Vinci–Fiumicino Airport,41.8,12.24,IT
medium_airport,LIRJ,EBA,Marina Di Campo Airport,42.76,10.24,IT
large_airport,LIRN,NAP,Naples International Airport,40.89,14.29,IT
large_airport,LIRP,PSA,Pisa International Airport,43.68,10.39,IT
medium_airport,LIRQ,FLR,Peretola Airport,43.81,11.21,IT
medium_airport,LIRZ,PEG,Perugia San Francesco d'Assisi – Umbria International Airport,43.1,12.51,IT
large_airport,LJLJ,LJU,Ljubljana Jože Pučnik Airport,46.22,14.46,SI
medium_airport,LJMB,MBX,Maribor Airport,46.48,15.69,SI
medium_airport,LKKV,KLV,Karlovy Vary International Airport,50.2,12.91,CZ
medium_airport,LKMT,OSR,Ostrava Leos Janáček Airport,49.7,18.11,CZ
medium_airport,LKPD,PED,Pardubice Airport,50.01,15.74,CZ
large_airport,LKPR,PRG,Václav Havel Airport Prague,50.1,14.26,CZ
medium_airport,LKTB,BRQ,Brno-Tuřany Airport,49.15,16.69,CZ
large_airport,LMML,MLA,Malta International Airport,35.86,14.48,MT
medium_airport,LOWG,GRZ,Graz Airport,46.99,15.44,AT
medium_airport,LOWI,INN,Innsbruck Airport,47.26,11.34,AT
medium_airport,LOWK,KLU,Klagenfurt Airport,46.64,14.34,AT
medium_airport,LOWL,LNZ,Linz Hörsching Airport,48.23,14.19,AT
medium_airport,LOWS,SZG,Salzburg Airport,47.79,13,AT
large_airport,LOWW,VIE,Vienna International Airport,48.11,16.57,AT
medium_airport,LPAZ,SMA,Santa Maria Airport,36.97,-25.17,PT
medium_airport,LPBG,BGC,Bragança Airport,41.86,-6.71,PT
medium_airport,LPCS,CAT,Cascais Airport,38.72,-9.36,PT
medium_airport,LPFL,FLW,Flores Airport,39.46,-31.13,PT
large_airport,LPFR,FAO,Faro Airport,37.01,-7.97,PT
medium_airport,LPGR,GRW,Graciosa Airport,39.09,-28.03,PT
medium_airport,LPHR,HOR,Horta Airport,38.52,-28.72,PT
large_airport,LPLA,TER,Lajes Airport,38.76,-27.09,PT
medium_airport,LPMA,FNC,Madeira Airport,32.7,-16.77,PT
large_airport,LPPD,PDL,João Paulo II Airport,37.74,-25.7,PT
medium_airport,LPPI,PIX,Pico Airport,38.55,-28.44,PT
medium_airport,LPPM,PRM,Portimão Airport,37.15,-8.58,PT
large_airport,LPPR,OPO,Francisco de Sá Carneiro Airport,41.25,-8.68,PT
medium_airport,LPPS,PXO,Porto Santo Airport,33.07,-16.35,PT
large_airport,LPPT,LIS,Humberto Delgado Airport (Lisbon Portela Airport),38.78,-9.14,PT
medium_airport,LPSJ,SJZ,São Jorge Airport,38.67,-28.18,PT
medium_airport,LPVR,VRL,Vila Real Airport,41.27,-7.72,PT
medium_airport,LPVZ,VSE,Aerodromo Goncalves Lobato (Viseu Airport),40.73,-7.89,PT
medium_airport,LQBK,BNX,Banja Luka International Airport,44.94,17.3,BA
medium_airport,LQMO,OMO,Mostar International Airport,43.28,17.85,BA
large_airport,LQSA,SJJ,Sarajevo International Airport,43.82,18.33,BA
medium_airport,LRAR,ARW,Arad International Airport,46.18,21.26,RO
medium_airport,LRBC,BCM,Bacău Airport,46.52,26.91,RO
medium_airport,LRBM,BAY,Maramureș International Airport,47.66,23.47,RO
medium_airport,LRBS,BBU,Băneasa International Airport,44.5,26.1,RO
medium_airport,LRCK,CND,Mihail Kogălniceanu International Airport,44.36,28.49,RO
medium_airport,LRCL,CLJ,Cluj-Napoca International Airport,46.79,23.69,RO
medium_airport,LRIA,IAS,Iaşi Airport,47.18,27.62,RO
medium_airport,LROD,OMR,Oradea International Airport,47.03,21.9,RO
large_airport,LROP,OTP,Henri Coandă International Airport,44.57,26.09,RO
medium_airport,LROV,,Brașov-Ghimbav International Airport (U.C.),45.71,25.52,RO
medium_airport,LRSB,SBZ,Sibiu International Airport,45.79,24.09,RO
medium_airport,LRSM,SUJ,Satu Mare Airport,47.7,22.89,RO
medium_airport,LRSV,SCV,Suceava Stefan cel Mare Airport,47.69,26.35,RO
medium_airport,LRTM,TGM,Transilvania Târgu Mureş International Airport,46.47,24.41,RO
medium_airport,LRTR,TSR,Timişoara Traian Vuia Airport,45.81,21.34,RO
large_airport,LSGG,GVA,Geneva Cointrin International Airport,46.24,6.11,CH
medium_airport,LSZA,LUG,Lugano Airport,46,8.91,CH
medium_airport,LSZB,BRN,Bern Belp Airport,46.91,7.5,CH
large_airport,LSZH,ZRH,Zürich Airport,47.46,8.55,CH
medium_airport,LSZR,ACH,St Gallen Altenrhein Airport,47.49,9.56,CH
medium_airport,LTBU,TEQ,Tekirdağ Çorlu Airport,41.14,27.92,TR
medium_airport,LUKK,KIV,Chişinău International Airport,46.93,28.93,MD
medium_airport,LUZ,LUZ,Lublin Airport,51.24,22.71,PL
medium_airport,LWOH,OHD,Ohrid St. Paul the Apostle Airport,41.18,20.74,MK
large_airport,LWSK,SKP,Skopje International Airport,41.96,21.62,MK
medium_airport,LXGB,GIB,Gibraltar Airport,36.15,-5.35,GI
large_airport,LYBE,BEG,Belgrade Nikola Tesla Airport,44.82,20.31,RS
medium_airport,LYNI,INI,Nis Airport,43.34,21.85,RS
large_airport,LYPG,TGD,Podgorica Airport / Podgorica Golubovci Airbase,42.36,19.25,ME
medium_airport,LYTV,TIV,Tivat Airport,42.4,18.72,ME
large_airport,LZIB,BTS,M. R. Štefánik Airport,48.17,17.21,SK
medium_airport,LZKZ,KSC,Košice Airport,48.66,21.24,SK
medium_airport,LZSL,SLD,Sliač Airport,48.64,19.13,SK
medium_airport,LZTT,TAT,Poprad-Tatry Airport,49.07,20.24,SK
medium_airport,LZZI,ILZ,Žilina Airport,49.23,18.61,SK
medium_airport,RMU,RMU,Región de Murcia International Airport,37.8,-1.13,ES
large_airport,RU-0035,GRV,Grozny North Airport,43.39,45.7,RU
medium_airport,RU-0189,,Kostomuksha Airport,64.62,30.69,RU
medium_airport,SE-0016,SCR,Scandinavian Mountains Airport,61.16,12.84,SE
large_airport,UKBB,KBP,Boryspil International Airport,50.35,30.89,UA
medium_airport,UKCM,MPW,Mariupol International Airport,47.08,37.45,UA
medium_airport,UKCW,VSG,Luhansk International Airport,48.42,39.37,UA
medium_airport,UKDD,DNK,Dnipropetrovsk International Airport,48.36,35.1,UA
medium_airport,UKDE,OZH,Zaporizhzhia International Airport,47.87,35.32,UA
medium_airport,UKDR,KWG,Kryvyi Rih International Airport,48.04,33.21,UA
large_airport,UKFF,SIP,Simferopol International Airport,45.05,33.98,RU
large_airport,UKHH,HRK,Kharkiv International Airport,49.92,36.29,UA
medium_airport,UKKK,IEV,Kiev Zhuliany International Airport,50.4,30.45,UA
medium_airport,UKLI,IFO,Ivano-Frankivsk International Airport,48.88,24.69,UA
medium_airport,UKLL,LWO,Lviv International Airport,49.81,23.96,UA
medium_airport,UKLN,CWC,Chernivtsi International Airport,48.26,25.98,UA
medium_airport,UKLR,RWN,Rivne International Airport,50.61,26.14,UA
medium_airport,UKLU,UDJ,Uzhhorod International Airport,48.63,22.26,UA
large_airport,UKOO,ODS,Odessa International Airport,46.43,30.68,UA
medium_airport,ULAA,ARH,Talagi Airport,64.6,40.72,RU
medium_airport,ULAM,NNM,Naryan Mar Airport,67.64,53.12,RU
medium_airport,ULBC,CEE,Cherepovets Airport,59.27,38.02,RU
medium_airport,ULKK,KSZ,Kotlas Airport,61.24,46.7,RU
medium_airport,ULMM,MMK,Murmansk Airport,68.78,32.75,RU
medium_airport,ULOO,PKV,Pskov Airport,57.78,28.4,RU
medium_airport,ULPB,PES,Petrozavodsk Airport,61.89,34.15,RU
medium_airport,UMBB,BQT,Brest Airport,52.11,23.9,BY
medium_airport,UMGG,GME,Gomel Airport,52.53,31.02,BY
medium_airport,UMKK,KGD,Khrabrovo Airport,54.89,20.59,RU
medium_airport,UMMG,GNA,Hrodna Airport,53.6,24.05,BY
large_airport,UMMS,MSQ,Minsk National Airport,53.88,28.03,BY
medium_airport,UMOO,MVQ,Mogilev Airport,53.95,30.1,BY
medium_airport,URKA,AAQ,Anapa Vityazevo Airport,45,37.35,RU
medium_airport,URKE,EIK,Yeysk Airport,46.68,38.21,RU
medium_airport,URKG,GDZ,Gelendzhik Airport,44.58,38.01,RU
medium_airport,URKK,KRR,Krasnodar Pashkovsky International Airport,45.03,39.17,RU
medium_airport,URML,MCX,Uytash Airport,42.82,47.65,RU
medium_airport,URMM,MRV,Mineralnyye Vody Airport,44.23,43.08,RU
medium_airport,URMN,NAL,Nalchik Airport,43.51,43.64,RU
medium_airport,URMO,OGZ,Beslan Airport,43.21,44.61,RU
medium_airport,URMS,IGT,Magas Airport,43.32,45.01,RU
medium_airport,URMT,STW,Stavropol Shpakovskoye Airport,45.11,42.11,RU
large_airport,URRP,ROV,Platov International Airport,47.49,39.92,RU
medium_airport,URRT,TGK,Taganrog Yuzhny Airport,47.2,38.85,RU
large_airport,URSS,AER,Sochi International Airport,43.45,39.96,RU
medium_airport,URWA,ASF,Astrakhan Airport,46.28,48.01,RU
medium_airport,URWI,ESL,Elista Airport,46.37,44.33,RU
medium_airport,URWW,VOG,Volgograd International Airport,48.78,44.35,RU
medium_airport,USCM,MQF,Magnitogorsk International Airport,53.39,58.76,RU
medium_airport,USII,IJK,Izhevsk Airport,56.83,53.46,RU
medium_airport,USKK,KVX,Pobedilovo Airport,58.5,49.35,RU
medium_airport,USPP,PEE,Bolshoye Savino Airport,57.91,56.02,RU
medium_airport,UUBA,KMW,Kostroma Sokerkino Airport,57.8,41.02,RU
medium_airport,UUBI,IWA,Ivanovo South Airport,56.94,40.94,RU
medium_airport,UUBK,RYB,Staroselye Airport,58.1,38.93,RU
medium_airport,UUBP,BZK,Bryansk Airport,53.21,34.18,RU
large_airport,UUBW,ZIA,Zhukovsky International Airport,55.55,38.15,RU
large_airport,UUDD,DME,Domodedovo International Airport,55.41,37.91,RU
large_airport,UUEE,SVO,Sheremetyevo International Airport,55.97,37.41,RU
medium_airport,UUMO,OSF,Ostafyevo International Airport,55.51,37.51,RU
medium_airport,UUOB,EGO,Belgorod International Airport,50.64,36.59,RU
medium_airport,UUOK,URS,Kursk East Airport,51.75,36.3,RU
medium_airport,UUOL,LPK,Lipetsk Airport,52.7,39.54,RU
medium_airport,UUOO,VOZ,Voronezh International Airport,51.81,39.23,RU
large_airport,UUWW,VKO,Vnukovo International Airport,55.59,37.26,RU
medium_airport,UUYH,UCT,Ukhta Airport,63.57,53.8,RU
medium_airport,UUYP,PEX,Pechora Airport,65.12,57.13,RU
medium_airport,UUYS,USK,Usinsk Airport,66,57.37,RU
medium_airport,UUYY,SCW,Syktyvkar Airport,61.65,50.85,RU
medium_airport,UWGG,GOJ,Nizhny Novgorod Strigino International Airport,56.23,43.78,RU
medium_airport,UWKB,UUA,Bugulma Airport,54.64,52.8,RU
large_airport,UWKD,KZN,Kazan International Airport,55.61,49.28,RU
medium_airport,UWKE,NBC,Begishevo Airport,55.56,52.09,RU
medium_airport,UWKJ,JOK,Yoshkar-Ola Airport,56.7,47.9,RU
medium_airport,UWKS,CSY,Cheboksary Airport,56.09,47.35,RU
medium_airport,UWLL,ULV,Ulyanovsk Baratayevka Airport,54.27,48.23,RU
medium_airport,UWLW,ULY,Ulyanovsk East Airport,54.4,48.8,RU
medium_airport,UWOO,REN,Orenburg Central Airport,51.8,55.46,RU
medium_airport,UWOR,OSW,Orsk Airport,51.07,58.6,RU
medium_airport,UWPP,PEZ,Penza Airport,53.11,45.02,RU
medium_airport,UWPS,SKX,Saransk Airport,54.13,45.21,RU
medium_airport,UWSB,BWO,Balakovo Airport,51.86,47.75,RU
large_airport,UWSG,GSV,Gagarin International Airport,51.71,46.17,RU
medium_airport,UWSS,RTW,Saratov Central Airport,51.56,46.05,RU
large_airport,UWUU,UFA,Ufa International Airport,54.56,55.87,RU
large_airport,UWWW,KUF,Kurumoch International Airport,53.5,50.16,RU
